variable_name,standardized_title,standardized_label,wave,file,codebook_file,block,question_label,question_text,item_text,question_type,dtype_observed,rows,nonempty_n,valid_n,missing_pct,unique_valid_values,example_values_raw,example_values_decoded,top_value_counts,value_labels,codebook_comment,display_skip_logic,construct,likely_geographic_granularity,origin_or_destination,privacy_anonymization
w1_q38x6,Household Origin Village,hh_orign_villg6,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],Division:,Multiple Choice,integer-coded,2170,2170,543,74.98,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 386, ""1"": 157}","{""0"": ""Not Selected"", ""1"": ""Selected""}",Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q38x6_txt,Household Origin Village,hh_orign_villg6_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],Division:,Open Text Box,string,2170,2170,154,92.9,16,"[""Rangpur"", ""Rajshahi"", ""Dhaka"", ""dhaka"", ""rangpur"", ""rajshahi"", ""Sirajganj"", ""রাজশাহী""]","[""Rangpur"", ""Rajshahi"", ""Dhaka"", ""dhaka"", ""rangpur"", ""rajshahi"", ""Sirajganj"", ""রাজশাহী""]","{""Rangpur"": 39, ""Rajshahi"": 36, ""Dhaka"": 20, ""dhaka"": 12, ""rangpur"": 12, ""rajshahi"": 10, ""Sirajganj"": 5, ""রাজশাহী"": 5, ""rongpur"": 3, ""Rongpur"": 3}",{},Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q38x88,Household Origin Village,hh_orign_villg88,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],DK,Multiple Choice,integer-coded,2170,2170,543,74.98,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 535, ""1"": 8}","{""0"": ""Not Selected"", ""1"": ""Selected""}",Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q38x99,Household Origin Village,hh_orign_villg99,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],RA,Multiple Choice,integer-coded,2170,2170,543,74.98,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 540, ""1"": 3}","{""0"": ""Not Selected"", ""1"": ""Selected""}",Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q37,Household Origin Village Existence,hh_orign_villg_exstn,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village Existence,Does the village you came from still exist?,,Single Choice,integer-coded,2170,2170,491,77.37,2,"[""2"", ""1""]","[""No"", ""Yes""]","{""2"": 400, ""1"": 91}","{""1"": ""Yes"", ""2"": ""No"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q35 [Household Origin Village River Distance] = ""Yes"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q35,Household Origin Village River Distance,hh_orign_villg_river_dist,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village River Distance,Is the village you moved from close to Jamuna River?,,Single Choice,integer-coded,2170,2170,543,74.98,2,"[""1"", ""2""]","[""Yes"", ""No""]","{""1"": 491, ""2"": 52}","{""1"": ""Yes"", ""2"": ""No"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_q133,Plot Distance from Jamuna,plot_dist_from_jmuna,w1,bemp_w1.csv,bemp_w1_codebook.csv,Plot Characterization,Plot Distance from Jamuna,How far is it from the Jamuna River? [one of the distance measures is enough],,Single Choice,integer-coded,2170,2170,416,80.83,9,"[""2"", ""1"", ""4"", ""3"", ""8"", ""7"", ""5"", ""6""]","[""[minutes walking time]:"", ""Right next to the river"", ""[kilometers]:"", ""[meters]:"", ""[roshi/rope]:"", ""[feet]:"", ""[miles]:"", ""[hands]:""]","{""2"": 200, ""1"": 149, ""4"": 39, ""3"": 12, ""8"": 6, ""7"": 5, ""5"": 3, ""6"": 1, ""9"": 1}","{""1"": ""Right next to the river"", ""2"": ""[minutes walking time]:"", ""3"": ""[meters]:"", ""4"": ""[kilometers]:"", ""5"": ""[miles]:"", ""6"": ""[hands]:"", ""7"": ""[feet]:"", ""8"": ""[roshi/rope]:"", ""9"": ""Other [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,If (w1_q121_txt [Usable Plot Count (Home Village)] > 0 OR w1_q122_txt [Non-Owned Agricultural Plot Count (Home Village)] > 0 OR w1_q123_txt [Total Agricultural Plot Count (Home Village)] > 0) | |,hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q133_txt,Plot Distance from Jamuna,plot_dist_from_jmuna_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Plot Characterization,Plot Distance from Jamuna,How far is it from the Jamuna River? [one of the distance measures is enough],,Open Text Box,string,2170,2170,267,87.7,43,"[""2"", ""5"", ""10"", ""1"", ""3"", ""15"", ""4"", ""30""]","[""2"", ""5"", ""10"", ""1"", ""3"", ""15"", ""4"", ""30""]","{""2"": 35, ""5"": 32, ""10"": 31, ""1"": 24, ""3"": 17, ""15"": 16, ""4"": 12, ""30"": 12, ""7"": 8, ""20"": 8}",{},,If (w1_q121_txt [Usable Plot Count (Home Village)] > 0 OR w1_q122_txt [Non-Owned Agricultural Plot Count (Home Village)] > 0 OR w1_q123_txt [Total Agricultural Plot Count (Home Village)] > 0) | |,hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_reg1,Respondent Code,resp_code,w1,bemp_w1.csv,bemp_w1_codebook.csv,Questionnaire Registration,Respondent Code,Respondent code [copy&paste from the Google Sheet],,Open Text Box,string,2170,2170,2170,0.0,2170,"[""L06-Z02-HH06-H"", ""L33-Z03-HH17-H"", ""L34-Z01-HH05-H"", ""L34-Z01-HH07-H"", ""L34-Z01-HH06-H"", ""L34-Z02-HH12-H"", ""L34-Z01-HH10-H"", ""L34-Z01-HH09-H""]","[""L06-Z02-HH06-H"", ""L33-Z03-HH17-H"", ""L34-Z01-HH05-H"", ""L34-Z01-HH07-H"", ""L34-Z01-HH06-H"", ""L34-Z02-HH12-H"", ""L34-Z01-HH10-H"", ""L34-Z01-HH09-H""]","{""L06-Z02-HH06-H"": 1, ""L33-Z03-HH17-H"": 1, ""L34-Z01-HH05-H"": 1, ""L34-Z01-HH07-H"": 1, ""L34-Z01-HH06-H"": 1, ""L34-Z02-HH12-H"": 1, ""L34-Z01-HH10-H"": 1, ""L34-Z01-HH09-H"": 1, ""L34-Z02-HH04-H"": 1, ""L34-Z02-HH07-H"": 1}",{},"Respondent codes follow the structure: location number (Lxx) - sampling zone (Zyy) - household number (HHzz) - subsample identifier (H - household head; F - senior female; YF - youth female; YM - youth male; LB - left-behind member of migrated respondent). For instance: L05-Z02-HH13-F. Note 1: Respondents with identical household code (e.g., L05-Z02-HH13) but different subsample endings (-H, -F, -YF, -YM, -LB) are individuals who belong to the same household. Note 2: The location- and zone-identifier in the respondent code was assigned in wave 1 and kept constant afterwards, even if respondents moved. Note 3: For locations L10, L17, and L18, the zone indicator is missing as houses were sparsely distributed in these locations and we partly had to sample outside the regular 200-m-zone to reach the targeted number of households. Note 4: Locations belong to the following districts: Bogra (L19-L21); Gaibandha (L23); Jamalpur (L01, L22); Kurigram (L24-L36); Manikganj (L04-L06); Sirajganj (L07-L09); Tangail (L02-L03; L10-L18).",| |,baseline origin sampling-location / household code,anonymized Lxx sampling location; district derivable,origin,pseudonymized composite; fixed after moves
w1_q189,Riverbank (Home Village) Current Distance,rivbk_home_villg_crrnt_dist,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Perception,Riverbank (Home Village) Current Distance,And how far away from your house is the river NOW? [one of the distance measures is enough],,Single Choice,integer-coded,2170,2170,1933,10.92,8,"[""2"", ""1"", ""3"", ""7"", ""4"", ""8"", ""6"", ""5""]","[""[minutes walking time]:"", ""River is right next to the house"", ""[meters]:"", ""[feet]:"", ""[kilometers]:"", ""[roshi/rope]:"", ""[hands]:"", ""[miles]:""]","{""2"": 1122, ""1"": 566, ""3"": 90, ""7"": 54, ""4"": 38, ""8"": 35, ""6"": 26, ""5"": 2}","{""1"": ""River is right next to the house"", ""2"": ""[minutes walking time]:"", ""3"": ""[meters]:"", ""4"": ""[kilometers]:"", ""5"": ""[miles]:"", ""6"": ""[hands]:"", ""7"": ""[feet]:"", ""8"": ""[roshi/rope]:"", ""10"": ""Other [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"| If (w1_q187 [Erosion (Home Village) Land Amount] != ""[don't read this option] There was no erosion"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""DK"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q189_txt,Riverbank (Home Village) Current Distance,rivbk_home_villg_crrnt_dist_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Perception,Riverbank (Home Village) Current Distance,And how far away from your house is the river NOW? [one of the distance measures is enough],,Open Text Box,continuous numeric,2170,2170,1367,37.0,49,"[""2"", ""1"", ""5"", ""3"", ""4"", ""10"", ""100"", ""0.5""]","[""2"", ""1"", ""5"", ""3"", ""4"", ""10"", ""100"", ""0.5""]","{""2"": 348, ""1"": 279, ""5"": 220, ""3"": 162, ""4"": 69, ""10"": 36, ""100"": 28, ""0.5"": 26, ""300"": 24, ""50"": 18}",{},,"| If (w1_q187 [Erosion (Home Village) Land Amount] != ""[don't read this option] There was no erosion"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""DK"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q213,Riverbank (Home Village) Distance 2019,rivbk_home_villg_dist_2019,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2019 - Perception,Riverbank (Home Village) Distance 2019,How far away from your house was the river BEFORE the 2019 erosion? [one of the distance measures is enough],,Single Choice,integer-coded,2170,2170,1910,11.98,9,"[""2"", ""4"", ""3"", ""5"", ""1"", ""8"", ""7"", ""6""]","[""[minutes walking time]:"", ""[kilometers]:"", ""[meters]:"", ""[miles]:"", ""River was right next to the house"", ""[roshi/rope]:"", ""[feet]:"", ""[hands]:""]","{""2"": 1387, ""4"": 259, ""3"": 57, ""5"": 57, ""1"": 51, ""8"": 35, ""7"": 33, ""6"": 30, ""10"": 1}","{""1"": ""River was right next to the house"", ""2"": ""[minutes walking time]:"", ""3"": ""[meters]:"", ""4"": ""[kilometers]:"", ""5"": ""[miles]:"", ""6"": ""[hands]:"", ""7"": ""[feet]:"", ""8"": ""[roshi/rope]:"", ""10"": ""Other [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"| If (w1_q212 [Erosion 2019 (Home Village) Expectation] != ""[don't read this option] There was no erosion"" AND w1_q212 [Erosion 2019 (Home Village) Expectation] != ""DK"" AND w1_q212 [Erosion 2019 (Home Village) Expectation] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q213_txt,Riverbank (Home Village) Distance 2019,rivbk_home_villg_dist_2019_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2019 - Perception,Riverbank (Home Village) Distance 2019,How far away from your house was the river BEFORE the 2019 erosion? [one of the distance measures is enough],,Open Text Box,string,2170,2170,1859,14.33,87,"[""30"", ""20"", ""15"", ""10"", ""2"", ""5"", ""25"", ""3""]","[""30"", ""20"", ""15"", ""10"", ""2"", ""5"", ""25"", ""3""]","{""30"": 207, ""20"": 187, ""15"": 175, ""10"": 164, ""2"": 91, ""5"": 83, ""25"": 74, ""3"": 72, ""1"": 72, ""60"": 68}",{},,"| If (w1_q212 [Erosion 2019 (Home Village) Expectation] != ""[don't read this option] There was no erosion"" AND w1_q212 [Erosion 2019 (Home Village) Expectation] != ""DK"" AND w1_q212 [Erosion 2019 (Home Village) Expectation] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q188,Riverbank (Home Village) Distance 2020,rivbk_home_villg_dist_2020,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Perception,Riverbank (Home Village) Distance 2020,How far away from your house was the river BEFORE the 2020 erosion? [one of the distance measures is enough],,Single Choice,integer-coded,2170,2170,1917,11.66,9,"[""2"", ""4"", ""1"", ""3"", ""5"", ""8"", ""7"", ""6""]","[""[minutes walking time]:"", ""[kilometers]:"", ""River was right next to the house"", ""[meters]:"", ""[miles]:"", ""[roshi/rope]:"", ""[feet]:"", ""[hands]:""]","{""2"": 1364, ""4"": 226, ""1"": 82, ""3"": 76, ""5"": 59, ""8"": 42, ""7"": 33, ""6"": 33, ""9"": 2}","{""1"": ""River was right next to the house"", ""2"": ""[minutes walking time]:"", ""3"": ""[meters]:"", ""4"": ""[kilometers]:"", ""5"": ""[miles]:"", ""6"": ""[hands]:"", ""7"": ""[feet]:"", ""8"": ""[roshi/rope]:"", ""9"": ""Other [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"| If (w1_q187 [Erosion (Home Village) Land Amount] != ""[don't read this option] There was no erosion"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""DK"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q188_txt,Riverbank (Home Village) Distance 2020,rivbk_home_villg_dist_2020_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Perception,Riverbank (Home Village) Distance 2020,How far away from your house was the river BEFORE the 2020 erosion? [one of the distance measures is enough],,Open Text Box,string,2170,2170,1835,15.44,67,"[""10"", ""5"", ""20"", ""15"", ""1"", ""30"", ""2"", ""3""]","[""10"", ""5"", ""20"", ""15"", ""1"", ""30"", ""2"", ""3""]","{""10"": 262, ""5"": 224, ""20"": 158, ""15"": 133, ""1"": 128, ""30"": 127, ""2"": 122, ""3"": 90, ""4"": 68, ""7"": 65}",{},,"| If (w1_q187 [Erosion (Home Village) Land Amount] != ""[don't read this option] There was no erosion"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""DK"" AND w1_q187 [Erosion (Home Village) Land Amount] != ""RA"") |",hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_V_q10x1,Distance to Road,dist_to_road1,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in kilometers,Multiple Choice,integer-coded,29,29,23,20.69,2,"[""1"", ""0""]","[""Selected"", ""Not Selected""]","{""1"": 17, ""0"": 6}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_V_q10x1_txt,Distance to Road,dist_to_road1_txt,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in kilometers,Open Text Box,continuous numeric,29,29,17,41.38,6,"[""2"", ""3"", ""5"", ""4"", ""2.5"", ""1""]","[""2"", ""3"", ""5"", ""4"", ""2.5"", ""1""]","{""2"": 7, ""3"": 5, ""5"": 2, ""4"": 1, ""2.5"": 1, ""1"": 1}",{},,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_V_q10x2,Distance to Road,dist_to_road2,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in minutes driving,Multiple Choice,integer-coded,29,29,23,20.69,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 18, ""1"": 5}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_V_q10x2_txt,Distance to Road,dist_to_road2_txt,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in minutes driving,Open Text Box,integer-coded,29,29,5,82.76,5,"[""30"", ""20"", ""2"", ""1"", ""10""]","[""30"", ""20"", ""2"", ""1"", ""10""]","{""30"": 1, ""20"": 1, ""2"": 1, ""1"": 1, ""10"": 1}",{},,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_V_q10x3,Distance to Road,dist_to_road3,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in minutes walking,Multiple Choice,integer-coded,29,29,23,20.69,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 21, ""1"": 2}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
w1_V_q10x3_txt,Distance to Road,dist_to_road3_txt,w1_V,bemp_w1_V.csv,bemp_w1_V_codebook.csv,Public Goods,Distance to Road,How far is it until the next tar/concrete/paved road,Distance in minutes walking,Open Text Box,integer-coded,29,29,2,93.1,2,"[""30"", ""15""]","[""30"", ""15""]","{""30"": 1, ""15"": 1}",{},,| |,reported distance/accessibility,distance/category per question,origin/destination context per file,distance only; endpoints not identified
